id,name,artist,album,image_url,preview_url,predicted_emoji,mood_label,language
1656654836,Rage,Michel Yang,Gray - EP,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/0f/8e/96/0f8e9673-b9e9-20b3-d4f4-2b1b3e9052fe/Michel_Yang.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/7b/19/25/7b192513-a87b-a563-b628-1412cafc7178/mzaf_4741756325275729296.plus.aac.p.m4a,😠,Angry,Korean
1821047496,rage,Kento!,rage - Single,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/00/b4/16/00b416fb-207b-f416-82a6-af74840227ad/artwork.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/32/8d/ee/328deeaf-4a90-34c3-3a6d-5a6644f72d51/mzaf_2837152068727705073.plus.aac.p.m4a,😠,Angry,Korean
1041860524,Shipapa (feat. Jung In & MI-WOO),GARY,2002,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/70/c8/b9/70c8b978-4d53-f951-1872-be7a43c8805e/COVER-_1.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/67/e2/0e/67e20eda-7b05-dede-678d-2a273fdab252/mzaf_18355852225340434679.plus.aac.p.m4a,😠,Angry,Korean
458032673,Rappers' Breakup Pt. 2 (with Minah),Defconn,The Rage Theater,https://is1-ssl.mzstatic.com/image/thumb/Music/21/b6/86/mzi.vrigjkbq.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/d1/7a/bb/d17abbc1-9df5-824f-56ec-87c402a17962/mzaf_12890148858262416718.plus.aac.p.m4a,😠,Angry,Korean
1114175288,Rage,Frank M. Murray,Rage - Single,https://is1-ssl.mzstatic.com/image/thumb/Music18/v4/56/a6/ed/56a6ed8e-4f02-958b-c1f5-448cfe0afa4a/cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview60/v4/39/95/58/399558f7-9e00-1248-9863-c8401614f18c/mzaf_4442314819124448662.plus.aac.p.m4a,😠,Angry,Korean
1494721996,Rage,"Avalanche, Flash Finger & OZ",Rock the World & 7 Years Volume 2,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/05/b5/99/05b59957-9d9d-3f87-e787-a7a03e8faab3/cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/2b/15/81/2b15817a-0e5d-032e-9657-24aa9a910951/mzaf_2562020235823565634.plus.aac.p.m4a,😠,Angry,Korean
1698317042,Party,GOT7,Present : YOU,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/0b/7d/cc/0b7dcc37-f055-b4fb-acfd-0f1f2c77a03b/738676860863_Cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/13/0d/4d/130d4dfd-8db3-4046-e933-f9b3cef1e0a8/mzaf_15832745918269994094.plus.aac.p.m4a,🎉,Party,Korean
1031478991,PARTY,Girls' Generation,Lion Heart - The 5th Album,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/86/47/89/86478949-fa9e-6b47-b4cc-b18f0405e351/mzm.qyuynwzk.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/b5/5a/eb/b55aeb00-1af0-2af9-02a7-7072e76eeeb1/mzaf_5822838612027810433.plus.aac.p.m4a,🎉,Party,Korean
1639416903,After LIKE,IVE,After LIKE - Single,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/01/f5/0a/01f50af1-89da-cb51-a809-c613600451e9/196925429900.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/af/78/11/af78116e-4e31-2cf6-faf6-e62ca99d7196/mzaf_4773771462355548204.plus.aac.p.m4a,🎉,Party,Korean
1567326688,Next Level,aespa,Next Level - Single,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/60/8d/ac/608dacc2-d6d6-462d-26f0-d693e4364751/artwork.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/43/1e/0a/431e0a24-2c04-e738-2632-87462a20984d/mzaf_3158159453623406671.plus.aac.p.m4a,🎉,Party,Korean
1555390083,What is Love?,TWICE,What is Love? - EP,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/7e/41/69/7e4169e8-8358-27ff-66b4-1564ec800abd/00602508875137_Cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/c9/67/30/c9673025-135c-e508-571b-122c268d7a28/mzaf_11330238921094968350.plus.aac.p.m4a,🎉,Party,Korean
1810796704,Messy,ROSÉ,F1 The Album,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/a6/91/da/a691dac7-4cb7-82f5-0eda-e37b96f63f55/075679610720.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/12/6e/3d/126e3de7-00a7-fa28-d008-9f01c5f9820c/mzaf_1139461947087643622.plus.aac.p.m4a,🎉,Party,Korean
1728928754,EASY,LE SSERAFIM,EASY - EP,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/22/0f/fd/220ffdbf-152c-5b65-d5af-01256c1328c2/196922796531_Cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/7d/22/d1/7d22d159-273b-29f4-f062-bc141b4fff79/mzaf_15628656417437915410.plus.aac.p.m4a,🎉,Party,Korean
1820264340,What It Sounds Like,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",KPop Demon Hunters (Soundtrack from the Netflix Film),https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/e1/15/42/e1154273-8ecd-5702-e6e6-597f28001681/25UMGIM82363.rgb.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/4b/9d/e7/4b9de724-86a5-3206-091c-6f928180cc07/mzaf_15300069630681935157.plus.aac.p.m4a,🎉,Party,Korean
1820264154,Takedown,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",KPop Demon Hunters (Soundtrack from the Netflix Film),https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/e1/15/42/e1154273-8ecd-5702-e6e6-597f28001681/25UMGIM82363.rgb.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/1b/8f/c9/1b8fc9f1-6d23-8bd5-f409-0f19d4e88172/mzaf_17909751412203507073.plus.aac.p.m4a,🎉,Party,Korean
1442864549,FIANCÉ,MINO,XX,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/d3/e0/b7/d3e0b708-2ea1-fbf7-f9ca-ef8473c10bd1/MINO_XX_DS_COVER.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/f6/b5/a0/f6b5a0ed-b2e6-714b-d3a7-554dce2c451d/mzaf_17888923943421486392.plus.aac.p.m4a,🎉,Party,Korean
